WORK_OBJECT_AVAILABLE_DATE|BO_Team|WORK_OBJECT_ID_Count|Team Location
2015-01-08|PRUBOND SERVICING & CLAIMS MUMBAI|841|Offshore
2015-01-08|PRUBONDS NEW BUSINESS|243|Offshore
2015-01-08|PRUFUND_BEREAVEMENTS|31|England
2015-01-08|RIG & PH PP MUMBAI|1032|Offshore
2015-01-08|RP|28|England
2015-01-08|RP_BEREAVEMENTS||England
2015-01-08|RPPAP MUMBAI|17|Offshore
2015-01-08|RPTB|46|England
2015-01-08|SCHEME NORTH MUMBAI|112|Offshore
2015-01-08|SERVICING|261|Offshore
2015-01-08|SHP_CLAIMS|22|England
2015-01-08|SHP_GPP_SERVICING|145|England
2015-01-08|SHP_MPP_FC|153|England
2015-01-08|SHP_MPP_REVISIONS|37|England
2015-01-08|TEACHERS||England
2015-01-09|ADVISER - LIFE (CH) MUMBAI|17|Offshore
2015-01-09|ANNUITIES SERVICING|258|Offshore
2015-01-09|AVC MUMBAI|1214|Offshore
2015-01-09|AVC_CLAIMS|13|England
2015-01-09|AVC_REVISIONS|41|England
2015-01-09|AVC_SERVICING|98|England
2015-01-09|BEREAVEMENTS|441|Offshore
2015-01-09|CDR DSS|14|Offshore
2015-01-09|CDT MUMBAI|429|Offshore
2015-01-09|CORPORATE PENSIONS|67|Offshore
2015-01-09|CORPORATE_PENSIONS|17|England
2015-01-09|DA ADMIN|56|Offshore
2015-01-09|EPP_MK1|12|England
2015-01-09|EPP_MK2-4|12|England
2015-01-09|IB PAY & SERVICING MUMBAI|375|Offshore
2015-01-09|IB_BEREAVEMENTS|143|England
2015-01-09|ILLUSTRATIONS MUMBAI|796|Offshore
2015-01-09|IPM FSAVC MUMBAI|218|Offshore
2015-01-09|MPP|14|England
2015-01-09|MPP_SCHEME_SERVICING|122|England
2015-01-09|NEW BUSINESS|78|Offshore
2015-01-09|NEW_WORLD_BEREAVEMENTS|15|England
2015-01-09|OB_LIFE_BEREAVEMENTS|38|England
2015-01-09|OPAL_BEREAVEMENTS||England
2015-01-09|PCPS_PCRS|5|England
2015-01-09|PG_SERV|30|England
2015-01-09|POLICY HOLDER - LIFE (NW) MUMBAI|171|Offshore
2015-01-09|POLICY HOLDER - LIFE (OB) MUMBAI|338|Offshore
2015-01-09|PRUBOND||England
2015-01-09|PRUBOND NBS (DGT)|141|Offshore
2015-01-09|PRUBOND SERVICING & CLAIMS MUMBAI|713|Offshore
2015-01-09|PRUBONDS NEW BUSINESS|222|Offshore
2015-01-09|PRUFUND_BEREAVEMENTS|34|England
2015-01-09|RIG & PH PP MUMBAI|1038|Offshore
2015-01-09|RP|40|England
2015-01-09|RP_BEREAVEMENTS||England
2015-01-09|RPPAP MUMBAI|59|Offshore
2015-01-09|RPTB|65|England
2015-01-09|SCHEME NORTH MUMBAI|74|Offshore
2015-01-09|SERVICING|280|Offshore
2015-01-09|SHP_CLAIMS|23|England
2015-01-09|SHP_GPP_SERVICING|201|England
2015-01-09|SHP_MPP_FC|192|England
2015-01-09|SHP_MPP_REVISIONS|21|England
2015-01-09|TEACHERS||England
2015-01-10|ADVISER - LIFE (CH) MUMBAI||Offshore
2015-01-10|ANNUITIES SERVICING|18|Offshore
2015-01-10|AVC MUMBAI|20|Offshore
2015-01-10|AVC_CLAIMS||England
2015-01-10|AVC_REVISIONS||England
2015-01-10|AVC_SERVICING||England
2015-01-10|BEREAVEMENTS|35|Offshore
2015-01-10|CDR DSS||Offshore
2015-01-10|CDT MUMBAI|222|Offshore
2015-01-10|CORPORATE PENSIONS||Offshore
2015-01-10|CORPORATE_PENSIONS||England
2015-01-10|DA ADMIN|4|Offshore
2015-01-10|EPP_MK1||England
2015-01-10|EPP_MK2-4||England
2015-01-10|IB PAY & SERVICING MUMBAI|20|Offshore
2015-01-10|IB_BEREAVEMENTS||England
2015-01-10|ILLUSTRATIONS MUMBAI|6|Offshore
2015-01-10|IPM FSAVC MUMBAI|1|Offshore
2015-01-10|MPP||England
2015-01-10|MPP_SCHEME_SERVICING|3|England
2015-01-10|NEW BUSINESS||Offshore
2015-01-10|NEW_WORLD_BEREAVEMENTS|1|England
2015-01-10|OB_LIFE_BEREAVEMENTS|2|England
2015-01-10|OPAL_BEREAVEMENTS||England
2015-01-10|PCPS_PCRS||England
2015-01-10|PG_SERV||England
2015-01-10|POLICY HOLDER - LIFE (NW) MUMBAI|10|Offshore
2015-01-10|POLICY HOLDER - LIFE (OB) MUMBAI|78|Offshore
2015-01-10|PRUBOND||England
2015-01-10|PRUBOND NBS (DGT)|6|Offshore
2015-01-10|PRUBOND SERVICING & CLAIMS MUMBAI|15|Offshore
2015-01-10|PRUBONDS NEW BUSINESS|1|Offshore
2015-01-10|PRUFUND_BEREAVEMENTS|2|England
2015-01-10|RIG & PH PP MUMBAI|5|Offshore
2015-01-10|RP|2|England
2015-01-10|RP_BEREAVEMENTS||England
2015-01-10|RPPAP MUMBAI|1|Offshore
2015-01-10|RPTB||England
2015-01-10|SCHEME NORTH MUMBAI|2|Offshore
2015-01-10|SERVICING|76|Offshore
2015-01-10|SHP_CLAIMS||England
2015-01-10|SHP_GPP_SERVICING|22|England
2015-01-10|SHP_MPP_FC|1|England
2015-01-10|SHP_MPP_REVISIONS||England
2015-01-10|TEACHERS||England
2015-01-11|ADVISER - LIFE (CH) MUMBAI||Offshore
2015-01-11|ANNUITIES SERVICING||Offshore
2015-01-11|AVC MUMBAI|1|Offshore
2015-01-11|AVC_CLAIMS||England
2015-01-11|AVC_REVISIONS||England
2015-01-11|AVC_SERVICING||England
2015-01-11|BEREAVEMENTS||Offshore
2015-01-11|CDR DSS||Offshore
2015-01-11|CDT MUMBAI||Offshore
2015-01-11|CORPORATE PENSIONS||Offshore
2015-01-11|CORPORATE_PENSIONS||England
2015-01-11|DA ADMIN||Offshore
2015-01-11|EPP_MK1||England
2015-01-11|EPP_MK2-4||England
2015-01-11|IB PAY & SERVICING MUMBAI||Offshore
2015-01-11|IB_BEREAVEMENTS||England
2015-01-11|ILLUSTRATIONS MUMBAI|7|Offshore
2015-01-11|IPM FSAVC MUMBAI|1|Offshore
2015-01-11|MPP||England
2015-01-11|MPP_SCHEME_SERVICING|3|England
2015-01-11|NEW BUSINESS||Offshore
2015-01-11|NEW_WORLD_BEREAVEMENTS||England
2015-01-11|OB_LIFE_BEREAVEMENTS||England
2015-01-11|OPAL_BEREAVEMENTS||England
2015-01-11|PCPS_PCRS||England
2015-01-11|PG_SERV||England
2015-01-11|POLICY HOLDER - LIFE (NW) MUMBAI||Offshore
2015-01-11|POLICY HOLDER - LIFE (OB) MUMBAI||Offshore
2015-01-11|PRUBOND||England
2015-01-11|PRUBOND NBS (DGT)||Offshore
2015-01-11|PRUBOND SERVICING & CLAIMS MUMBAI||Offshore
2015-01-11|PRUBONDS NEW BUSINESS|4|Offshore
2015-01-11|PRUFUND_BEREAVEMENTS||England
2015-01-11|RIG & PH PP MUMBAI||Offshore
2015-01-11|RP||England
2015-01-11|RP_BEREAVEMENTS||England
2015-01-11|RPPAP MUMBAI||Offshore
2015-01-11|RPTB||England
2015-01-11|SCHEME NORTH MUMBAI||Offshore
2015-01-11|SERVICING||Offshore
2015-01-11|SHP_CLAIMS||England
2015-01-11|SHP_GPP_SERVICING|8|England
2015-01-11|SHP_MPP_FC|1|England
2015-01-11|SHP_MPP_REVISIONS||England
2015-01-11|TEACHERS||England
2015-01-12|ADVISER - LIFE (CH) MUMBAI|20|Offshore
2015-01-12|ANNUITIES SERVICING|264|Offshore
2015-01-12|AVC MUMBAI|1430|Offshore
2015-01-12|AVC_CLAIMS|15|England
2015-01-12|AVC_REVISIONS|34|England
2015-01-12|AVC_SERVICING|101|England
2015-01-12|BEREAVEMENTS|319|Offshore
2015-01-12|CDR DSS|195|Offshore
2015-01-12|CDT MUMBAI|469|Offshore
2015-01-12|CORPORATE PENSIONS|83|Offshore
2015-01-12|CORPORATE_PENSIONS|14|England
2015-01-12|DA ADMIN|61|Offshore
2015-01-12|EPP_MK1|38|England
2015-01-12|EPP_MK2-4|24|England
2015-01-12|IB PAY & SERVICING MUMBAI|403|Offshore
2015-01-12|IB_BEREAVEMENTS|252|England
2015-01-12|ILLUSTRATIONS MUMBAI|991|Offshore
2015-01-12|IPM FSAVC MUMBAI|121|Offshore
2015-01-12|MPP|14|England
2015-01-12|MPP_SCHEME_SERVICING|152|England
2015-01-12|NEW BUSINESS|74|Offshore
2015-01-12|NEW_WORLD_BEREAVEMENTS|14|England
2015-01-12|OB_LIFE_BEREAVEMENTS|104|England
2015-01-12|OPAL_BEREAVEMENTS||England
2015-01-12|PCPS_PCRS|13|England
2015-01-12|PG_SERV|56|England
2015-01-12|POLICY HOLDER - LIFE (NW) MUMBAI|229|Offshore
2015-01-12|POLICY HOLDER - LIFE (OB) MUMBAI|458|Offshore
2015-01-12|PRUBOND|6|England
2015-01-12|PRUBOND NBS (DGT)|143|Offshore
